0,c,1.0,1,1,gt::rt0,rr::br0,bc::br1,gt::gc1,rr::rt1,gt::gc1
1,c,1.0,1,1,bc::gc0,bc::br1,rr::rt1,gt::gc1,rr::rt1,gt::gc1
2,c,1.0,1,1,bc::gc0,gt::gc1,bc::br1,gt::rt0,rr::rt1,gt::br0
3,c,1.0,1,1,bc::gc0,bc::br1,gt::gc1,rr::rt1,bc::rt0,gt::rt0
4,c,1.0,1,1,bc::gc0,gt::gc1,bc::br1,rr::rt1,rr::rt1,bc::br1
5,c,1.0,1,1,bc::gc0,bc::br1,rr::rt1,gt::gc1,bc::br1,rr::rt1
6,c,1.0,1,1,gt::gc1,rr::br0,bc::br1,bc::br1,rr::rt1,bc::br1
7,c,1.0,1,1,gt::rt0,bc::gc0,rr::rt1,bc::br1,rr::rt1,gt::gc1
8,c,1.0,1,1,gt::gc1,rr::rt1,bc::br1,gt::rt0,rr::rt1,bc::br1
9,c,1.0,1,1,gt::rt0,bc::gc0,bc::br1,gt::gc1,gt::gc1,rr::rt1
10,c,1.0,1,1,gt::rt0,bc::gc0,rr::br0,rr::gc0,gt::gc1,bc::gc0
11,c,1.0,1,1,gt::rt0,bc::br1,rr::rt1,gt::gc1,bc::br1,rr::rt1
12,c,1.0,1,1,bc::gc0,bc::br1,gt::gc1,rr::rt1,bc::rt0,gt::rt0
13,c,1.0,1,1,bc::gc0,bc::br1,rr::rt1,bc::br1,gt::gc1,rr::br0
14,c,1.0,1,1,rr::gc0,gt::gc1,bc::rt0,bc::br1,rr::rt1,gt::gc1
15,c,1.0,1,1,gt::rt0,bc::gc0,rr::br0,gt::gc1,bc::br1,rr::rt1
16,c,1.0,1,1,rr::rt1,bc::br1,bc::gc0,gt::gc1,rr::br0,gt::rt0
17,c,1.0,1,1,bc::gc0,rr::br0,gt::gc1,rr::rt1,bc::br1,bc::rt0
18,c,1.0,1,1,gt::gc1,bc::gc0,rr::rt1,rr::br0,gt::gc1,rr::gc0
19,c,0.5,0,1,gt::rt0,bc::gc0,gt::gc1,bc::br1,rr::rt1,rr::br0
20,c,1.0,1,1,bc::rt0,rr::rt1,gt::gc1,bc::br1,rr::rt1,rr::br0
21,c,1.0,1,1,gt::rt0,bc::gc0,bc::br1,gt::gc1,bc::br1,rr::rt1
22,c,1.0,1,1,gt::rt0,rr::br0,bc::gc0,gt::gc1,bc::br1,rr::rt1
23,c,1.0,1,1,bc::gc0,gt::rt0,bc::br1,rr::rt1,gt::gc1,bc::br1
24,c,1.0,1,1,gt::rt0,gt::gc1,rr::rt1,rr::rt1,bc::br1,rr::br0
25,c,1.0,1,1,bc::br1,bc::gc0,rr::rt1,gt::gc1,gt::rt0,rr::br0
26,c,1.0,1,1,gt::rt0,gt::gc1,bc::gc0,rr::rt1,rr::rt1,gt::gc1
27,c,1.0,1,1,gt::gc1,rr::rt1,bc::br1,rr::br0,gt::rt0,bc::gc0
28,c,1.0,1,1,gt::rt0,rr::rt1,bc::br1,gt::gc1,rr::rt1,rr::rt1
29,c,1.0,1,1,rr::br0,rr::rt1,gt::gc1,bc::br1,bc::br1,rr::rt1
30,c,1.0,1,1,rr::br0,bc::gc0,bc::gc0,rr::rt1,gt::gc1,bc::br1
31,c,0.0,0,0,rr::br0,bc::gc0,gt::rt0,rr::br0,gt::rt0,bc::gc0
32,c,1.0,1,1,bc::gc0,gt::gc1,rr::rt1,bc::br1,bc::br1,gt::gc1
33,c,0.5,0,1,rr::br0,bc::br1,gt::gc1,rr::rt1,bc::br1,bc::gc0
34,c,1.0,1,1,gt::rt0,rr::rt1,gt::gc1,bc::br1,gt::gc1,rr::rt1
35,c,1.0,1,1,gt::rt0,gt::gc1,rr::rt1,bc::br1,gt::gc1,rr::rt1
36,c,1.0,1,1,bc::gc0,gt::rt0,rr::br0,gt::gc1,bc::br1,rr::rt1
37,c,0.5,1,0,rr::gc0,rr::br0,rr::gc0,bc::gc0,gt::gc1,gt::br0
38,c,1.0,1,1,bc::gc0,gt::gc1,gt::gc1,gt::gc1,gt::gc1,gt::gc1
39,c,0.5,0,1,gt::rt0,rr::br0,bc::gc0,rr::rt1,bc::br1,gt::gc1
40,c,1.0,1,1,gt::rt0,rr::br0,bc::gc0,rr::rt1,gt::gc1,bc::br1
41,c,1.0,1,1,rr::gc0,gt::rt0,bc::br1,gt::gc1,rr::rt1,gt::gc1
42,c,1.0,1,1,gt::rt0,rr::rt1,bc::br1,gt::gc1,bc::rt0,bc::gc0
43,c,1.0,1,1,rr::br0,rr::rt1,gt::gc1,bc::br1,gt::rt0,bc::gc0
44,c,1.0,1,1,bc::gc0,gt::gc1,rr::rt1,bc::br1,rr::gc0,gt::gc1
45,c,1.0,1,1,gt::rt0,bc::br1,rr::rt1,gt::gc1,gt::rt0,bc::gc0
46,c,0.5,1,0,gt::rt0,bc::gc0,rr::rt1,bc::br1,gt::gc1,bc::br1
47,c,1.0,1,1,bc::gc0,gt::gc1,rr::rt1,rr::rt1,rr::rt1,gt::gc1
48,c,1.0,1,1,rr::br0,gt::gc1,bc::br1,rr::rt1,bc::gc0,rr::br0
49,s,1.0,1,1,bc::gc1,rr::br1,gt::rt1,gt::gc0,rr::rt0,rr::gc0
50,s,1.0,1,1,rr::br1,bc::gc1,gt::rt1,rr::br1,bc::gc1,gt::rt1
51,s,1.0,1,1,bc::br0,gt::rt1,rr::br1,bc::gc1,bc::gc1,rr::br1
52,s,1.0,1,1,gt::rt1,bc::gc1,rr::br1,gt::br0,bc::gc1,rr::br1
